sentence,aspect,category,domain,type
لقد جربنا مساحيق أخرى وهذا بالتأكيد هو الأفضل بالنسبة لنا.,none,food#general,food,implicit
يبدو أنه لا يزال طازجًا بعد ثلاثة أيام.,none,food#general,food,implicit
كانت هذه العلامة التجارية والنكهة الأفضل على الإطلاق.,none,food#quality,food,implicit
"أثناء ممارسة الأنشطة الشاقة، أحب الطريقة التي يستقر بها في معدتي قبل المباريات والطاقة التي يمنحني إياها.",none,food#general,food,implicit
"أفعل هذا أحيانًا لأرى المدة التي يمكنني الاستمرار فيها، ولكن تحريكه يحل أي ""حرق"" أو أي شيء على الفور وينتشر عبر الفم بشكل ممتع.",none,food#general,food,implicit
إن وضع حفنة منها في فمك سوف يبقيك مشغولاً لفترة من الوقت ويشعرك بالشبع.,none,NULL,food,objective
جديد منتج لمنزلنا .,منتج,food#general,food,explicit
"هذا هو أحد الأطعمة المفضلة لدي على الإطلاق الأطعمة، والذكريات العالقة لدي عن البرازيل.",الأطعمة,food#general,food,explicit
"نحن نحب هذا الشاي المثلج، ذو نكهة عرق السوس اللذيذة.","الشاي , الشاي","food#general , food#quality",food,explicit
"هذا رائع بكل بساطة، ولذيذ للغاية في أي وصفة تتطلب نكهة اللوز القوية.","none , none","food#general , food#quality",food,implicit
إنه سماوي تمامًا.,none,food#general,food,implicit
لقد تأثرت كثيرا .,none,NULL,food,objective
حيث أن هذه دائما طازجة!,none,NULL,food,objective
هذه القهوة تنتج تحميصًا متوسطًا لطيفًا مع نكهات الأزهار والتوت الغريبة.,القهوة,food#quality,food,explicit
سي اف اتش,none,NULL,food,objective
"عند تحويل PB2 إلى زبدة الفول السوداني، لا تضيف الكثير من الماء، وإلا فإن القوام سيكون غريبًا وسيصبح الطعم مخففًا قليلاً.",none,NULL,food,objective
جيد جدًا !,none,food#general,food,implicit
إنه لذيذ ومالح ومقرمش.,none,food#quality,food,implicit
موصى به للغاية!,none,food#recommendation,food,implicit
كلبي مجنون بهذه العصي!,العصي,food#quality,food,explicit
"أحب حليب الصويا Silk Very Vanilla Soymilk في العبوات الكبيرة، وكنت سعيدًا جدًا عندما كنت أتصفح Amazon ووجدت هذه العبوات الفردية بحجم 8 أونصات","حليب الصويا Silk Very Vanilla Soymilk , Amazon","food#general , amazon#availability",food,explicit
"لقد كتبت أمازون وأعادوا لي المبلغ على الفور، لذا فإن خدمة العملاء لديهم ممتازة. لقد فتحنا منذ ذلك الحين بعض الأكياس الإضافية ولا تبدو قديمة، لكنني ما زلت لا أعتقد أنها ذات مذاق طازج مثل تلك الموجودة في البقالة.","أمازون , none","food#general , food#quality",food,mixed
ربما يكون أفضل قليلاً من البريتزل العادي.,none,food#general,food,implicit
إنه فقط 0.54 دولارًا لكل علبة في وول مارت.,none,NULL,food,objective
من الواضح أن هذا هو مزيج المكسرات المفضل لدي.,none,food#general,food,implicit
تم حل المشكلة!,none,NULL,food,objective
رائع المنتج .,المنتج,food#general,food,explicit
أبدأ كل يوم بكوب من الشوكولاتة الساخنة.,الشوكولاتة الساخنة,food#general,food,explicit
أنا لست متأكدًا حتى من مجموعة اللحوم التي يبيعونها.,none,NULL,food,objective
"إنهم جميعًا يحبون هذا الطعام، وهو مغذي جدًا بالنسبة لهم، ولا يحتوي على أي منتجات حيوانية.","none , none","food#general , food#quality",food,implicit
لقد كان الوقت المطلوب في كل منهما مختلفًا تمامًا - من الحاجة إلى أقل (لتجنب الغليان) إلى الحاجة إلى المزيد.,none,NULL,food,objective
فظيعة تماما .,none,food#general,food,implicit
"القهوة كانت جيدة، لكنها لم تكن ذات النكهة التي كنت أتوقعها.","القهوة , none","food#general , food#quality",food,mixed
أحب الماء المعبأ بدلاً من لزوجة الزيت.,none,food#quality,food,implicit
إنهم الأفضل من كلا العالمين ويستمرون لفترة طويلة مع الكثير من النكهة!,none,food#quality,food,implicit
أنا لا أقترب أبدًا من هذا العدد لأنني عادةً أحصل على إصلاحتي في حوالي 20.,none,food#general,food,implicit
والنكهات الأخرى جيدة بنفس القدر أيضًا! ),none,food#quality,food,implicit
لا يُسمح لي بتناول الكثير من الكافيين لأنه يسبب عدم انتظام ضربات القلب لدي.,none,NULL,food,objective
"إنه لطيف، وليس بشكل ساحق، حلو.",none,food#quality,food,implicit
لقد أصبح لدي تكسر أقل وشعري يبدو أكثر كثافة ونعومة.,none,NULL,food,objective
"اعتقدت أن هذا سيكون مختلفًا، لكنه ليس كذلك.",none,NULL,food,objective
إنه ملح رائع لإنهاء اللحوم أيضًا!,none,food#general,food,implicit
لقد قمت بتحضير القهوة بالطريقة المعتادة ولكنها لم تكن قوية بما فيه الكفاية.,القهوة,food#general,food,explicit
"لقد حصلت عليها أثناء وجودها للبيع هذا الشهر من أمازون، وبنفس سعر المكان الآخر، لكنني لن أشتريها من أمازون مقابل 25 دولارًا للحالة",أمازون,amazon#prices,food,explicit
"""لم أكن من محبي قهوة كيوريج، بسبب طبيعة المشروب الضعيفة.""",قهوة كيوريج,food#quality,food,explicit
"الافتراض المعتاد هو أن الدرجة (أ) أفضل من الدرجة (ب) ولكن على عكس البيض أو اللحوم، تشير الدرجة إلى وقت حصاد الشراب، بينما تكون الدرجة (ب) ذات نكهة أكثر كثافة.",none,food#quality,food,implicit
"وصلوا بسرعة في حالة ممتازة، واستمتعت حقًا بكل قضمة منهم!","none , none , none","shipment#quality , shipment#delivery , food#general",food,implicit
أنا متأكد من أن هذا يشبه 75٪ من الكمثرى مع قليل من الخضار ولكنه أفضل من لا شيء.,none,food#quality,food,implicit
أحب أن بار كان طريًا ومضغوطًا.,"بار , بار","food#general , food#style_options",food,explicit
ليست صلبة مثل جلد الفاكهة.,none,NULL,food,objective
