dataset,domain,sentence,aspect,category,type,source_dataset,language
acos,restaurants,"judging from previous posts this used to be a good place , but not any longer .",place, restaurant general,explicit,acos,English
acos,restaurants,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff, service general,explicit,acos,English
acos,restaurants,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",NULL, service general,implicit,acos,English
acos,restaurants,the food was lousy - too sweet or too salty and the portions tiny .,food, food quality,explicit,acos,English
acos,restaurants,"after all that , they complained to me about the small tip .",NULL, service general,implicit,acos,English
acos,restaurants,avoid this place !,place, restaurant general,explicit,acos,English
acos,restaurants,"i have eaten at saul , many times , the food is always consistently , outrageously good .",food, food quality,explicit,acos,English
acos,restaurants,saul is the best restaurant on smith street and in brooklyn .,saul, restaurant general,explicit,acos,English
acos,restaurants,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs, food quality,explicit,acos,English
acos,restaurants,the wine list is interesting and has many good values .,wine list, drinks style_options,explicit,acos,English
acos,restaurants,"for the price , you can not eat this well in manhattan .",NULL, restaurant prices,implicit,acos,English
acos,restaurants,i was very disappointed with this restaurant .,restaurant, restaurant general,explicit,acos,English
acos,restaurants,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant, service general,explicit,acos,English
acos,restaurants,i had to ask her three times before she finally came back with the dish ive requested .,NULL, service general,implicit,acos,English
acos,restaurants,"food was okay , nothing great .",food, food quality,explicit,acos,English
acos,restaurants,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,chow fun, food quality,explicit,acos,English
acos,restaurants,i / we will never go back to this place again .,place, restaurant general,explicit,acos,English
acos,restaurants,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",fish, restaurant general,explicit,acos,English
acos,restaurants,"service was devine , oysters where a sensual as they come , and the price ca n  t be beat ! ! !",service, service general,explicit,acos,English
acos,restaurants,you ca n  t go wrong here .,NULL, restaurant general,implicit,acos,English
acos,restaurants,every time in new york i make it a point to visit restaurant saul on smith street .,restaurant saul, restaurant general,explicit,acos,English
acos,restaurants,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service, service general,explicit,acos,English
acos,restaurants,i had the duck breast special on my last visit and it was incredible .,duck breast special, food quality,explicit,acos,English
acos,restaurants,and i hate to say this but i doubt i  ll ever go back .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",food, food quality,explicit,acos,English
acos,restaurants,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,grilled chicken special with edamame puree, food quality,explicit,acos,English
acos,restaurants,i had never had edamame pureed before but i thought it was innovative and tasty ( could  ve used a bit more salt ) .,edamame pureed, food quality,explicit,acos,English
acos,restaurants,"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place, ambience general,explicit,acos,English
acos,restaurants,we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,service, service general,explicit,acos,English
acos,restaurants,the perfect spot .,spot, restaurant general,explicit,acos,English
acos,restaurants,food - awesome .,food, food quality,explicit,acos,English
acos,restaurants,service - friendly and attentive .,service, service general,explicit,acos,English
acos,restaurants,ambiance - relaxed and stylish .,ambiance, ambience general,explicit,acos,English
acos,restaurants,"do n  t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",place, restaurant general,explicit,acos,English
acos,restaurants,the food is decent .,food, food quality,explicit,acos,English
acos,restaurants,"however , it  s the service that leaves a bad taste in my mouth .",service, service general,explicit,acos,English
acos,restaurants,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",waiter, service general,explicit,acos,English
acos,restaurants,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i  m here to eat and enjoy the company of friends , seeking a pleasant experience .",NULL, service general,implicit,acos,English
acos,restaurants,"well , i did n  t find it there , and trust , i have told everyone i can think of about my experience .",NULL, restaurant general,implicit,acos,English
acos,restaurants,the last time i walked by it looked pretty empty . hmmm .,NULL, restaurant miscellaneous,implicit,acos,English
acos,restaurants,i had a great experience .,NULL, restaurant general,implicit,acos,English
acos,restaurants,food is great .,food, food quality,explicit,acos,English
acos,restaurants,service is top notch .,service, service general,explicit,acos,English
acos,restaurants,i have been going back again and again .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",NULL, food quality,implicit,acos,English
acos,restaurants,the sushi seemed pretty fresh and was adequately proportioned .,sushi, food quality,explicit,acos,English
acos,restaurants,the rice to fish ration was also good - - they did n  t try to overpack the rice .,rice to fish ration, food style_options,explicit,acos,English
acos,restaurants,we took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal, food quality,explicit,acos,English
acos,restaurants,surprisingly nothing could be further from the truth .,NULL, restaurant miscellaneous,implicit,acos,English
acos,restaurants,"in the evening , this place attracted a well dressed , with it , ny crowd .",crowd, restaurant miscellaneous,explicit,acos,English
acos,restaurants,the food was well prepared and the service impecable .,food, food quality,explicit,acos,English
acos,restaurants,i  m going back .,NULL, restaurant general,implicit,acos,English
acos,restaurants,quite simply it  s like stepping out of manhattan and into a haven of tranquility .,NULL, ambience general,implicit,acos,English
acos,restaurants,i will be going back and heartily recommend it !,NULL, restaurant general,implicit,acos,English
acos,restaurants,"it is terrific , as is the value .",NULL, food quality,implicit,acos,English
acos,restaurants,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food, food style_options,explicit,acos,English
acos,restaurants,"i am not a vegetarian but , almost all the dishes were great .",dishes, food quality,explicit,acos,English
acos,restaurants,go hungry and enjoy .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",somosas, food quality,explicit,acos,English
acos,restaurants,"the service varys from day to day - sometimes they  re very nice , and sometimes not .",service, service general,explicit,acos,English
acos,restaurants,"the kitchen however , is almost always slow .",kitchen, service general,explicit,acos,English
acos,restaurants,if you  ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,view, location general,explicit,acos,English
acos,restaurants,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service, service general,explicit,acos,English
acos,restaurants,the lava cake dessert was incredible and i recommend it .,lava cake dessert, food quality,explicit,acos,English
acos,restaurants,"once you step into cosette , you  re miraculously in a small , off - the - beaten path parisian bistro .",cosette, ambience general,explicit,acos,English
acos,restaurants,"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",restaurant, ambience general,explicit,acos,English
acos,restaurants,"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food, food quality,explicit,acos,English
acos,restaurants,"however , go for the ambience , and consider the food just a companion for a trip across the world !",ambience, ambience general,explicit,acos,English
acos,restaurants,the pizza was delivered cold and the cheese was n  t even fully melted !,pizza, food quality,explicit,acos,English
acos,restaurants,it looked like shredded cheese partly done - still in strips .,NULL, food quality,implicit,acos,English
acos,restaurants,this has got to be one of the most overrated restaurants in brooklyn .,NULL, restaurant general,implicit,acos,English
acos,restaurants,the pizza is overpriced and soggy .,pizza, food quality,explicit,acos,English
acos,restaurants,"yes , they use fancy ingredients , but even fancy ingredients do n  t make for good pizza unless someone knows how to get the crust right .",ingredients, food quality,explicit,acos,English
acos,restaurants,"a big disappointment , all around .",NULL, restaurant general,implicit,acos,English
acos,restaurants,i think i  ve had some the best meals of my life at minnow .,meals, food quality,explicit,acos,English
acos,restaurants,"the seafood is amazing , there  s a good wine list , and the ever - changing menu always offers some great surprises .",seafood, food quality,explicit,acos,English
acos,restaurants,the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients, food quality,explicit,acos,English
acos,restaurants,worth the trip from manhattan .,NULL, restaurant general,implicit,acos,English
acos,restaurants,best pastrami i ever had and great portion without being ridiculous .,pastrami, food quality,explicit,acos,English
acos,restaurants,my wife had the fried shrimp which are huge and loved it .,fried shrimp, food style_options,explicit,acos,English
acos,restaurants,"as a japanese native , i  ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",place, restaurant general,explicit,acos,English
acos,restaurants,this place is the most japanese it can ever get .,place, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",signs, restaurant miscellaneous,explicit,acos,English
acos,restaurants,this place is worth an one - hour drive .,place, restaurant general,explicit,acos,English
acos,restaurants,"i am so coming back here again , as much as i can .",NULL, restaurant general,implicit,acos,English
acos,restaurants,"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",leon, restaurant general,explicit,acos,English
acos,restaurants,"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff, service general,explicit,acos,English
acos,restaurants,decent wine at reasonable prices .,wine, drinks quality,explicit,acos,English
acos,restaurants,"our teenage kids love it , too .",NULL, restaurant general,implicit,acos,English
acos,restaurants,"everytime i decide to try another place on the ues , i get angry that i did n  t just go to zucchero pomodori .",zucchero pomodori, restaurant general,explicit,acos,English
acos,restaurants,this is by far my favorite place in the neighborhood .,place, restaurant general,explicit,acos,English
acos,restaurants,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",service, service general,explicit,acos,English
acos,restaurants,i  m partial to the gnocchi .,gnocchi, restaurant general,explicit,acos,English
acos,restaurants,this place is incredibly tiny .,place, ambience general,explicit,acos,English
acos,restaurants,they refuse to seat parties of 3 or more on weekends .,NULL, service general,implicit,acos,English
acos,restaurants,the hostess is rude to the point of being offensive .,hostess, service general,explicit,acos,English
acos,restaurants,the food was bland oily .,food, food quality,explicit,acos,English
acos,restaurants,i just do n  t understand all the hype . . .,NULL, restaurant general,implicit,acos,English
acos,restaurants,"we have been to this place many times , and always have great food , wine , and service .",food, food quality,explicit,acos,English
acos,restaurants,"we were worried we would have trouble getting in , but somehow managed to have a short wait .",wait, service general,explicit,acos,English
acos,restaurants,as always we had a great glass of wine while we waited .,glass of wine, drinks quality,explicit,acos,English
acos,restaurants,"when we sat , we got great and fast service .",service, service general,explicit,acos,English
acos,restaurants,the people that work there are always so friendly you forget you are in new york sometimes .,people, service general,explicit,acos,English
acos,restaurants,this is a fun restaurant to go to .,restaurant, restaurant general,explicit,acos,English
acos,restaurants,the pizza is yummy and i like the atmoshpere .,pizza, food quality,explicit,acos,English
acos,restaurants,but the pizza is way to expensive .,pizza, food prices,explicit,acos,English
acos,restaurants,"a large is $ 20 , and toppings are about $ 3 each .",NULL, food prices,implicit,acos,English
acos,restaurants,i went there for lunch and it was not as good as i expected from the reviews i read .,lunch, food quality,explicit,acos,English
acos,restaurants,sauce was watery and the food did n  t have much flavor .,sauce, food quality,explicit,acos,English
acos,restaurants,i do n  t think i would go again .,NULL, restaurant general,implicit,acos,English
acos,restaurants,this place is great .,place, restaurant general,explicit,acos,English
acos,restaurants,the waitress was very patient with us and the food is phenomenal !,waitress, service general,explicit,acos,English
acos,restaurants,"service was prompt , friendly and great .",service, service general,explicit,acos,English
acos,restaurants,slightly on the pricey side but worth it !,NULL, restaurant prices,implicit,acos,English
acos,restaurants,great pizza and fantastic service .,pizza, food quality,explicit,acos,English
acos,restaurants,"there was a small wait , but shorter than i expected .",wait, service general,explicit,acos,English
acos,restaurants,located at the end of a magnificent block .,NULL, location general,implicit,acos,English
acos,restaurants,very cozy and warm inside . . . . .,NULL, ambience general,implicit,acos,English
acos,restaurants,i will be back !,NULL, restaurant general,implicit,acos,English
acos,restaurants,this is the best sushi in new york city - hands down .,sushi, food quality,explicit,acos,English
acos,restaurants,the place is small and cramped but the food is fantastic .,place, ambience general,explicit,acos,English
acos,restaurants,"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",sushi, food quality,explicit,acos,English
acos,restaurants,"with the great variety on the menu , i eat here often and never get bored .",menu, food style_options,explicit,acos,English
acos,restaurants,"the atmosphere is n  t the greatest , but i suppose that  s how they keep the prices down .",atmosphere, ambience general,explicit,acos,English
acos,restaurants,it  s all about the food ! !,food, food quality,explicit,acos,English
acos,restaurants,first it took us a long time to find the place .,place, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"but when we looked at the menu , there were n  t a lot of choices , most of them were dumplings in the appetizer section .",menu, food style_options,explicit,acos,English
acos,restaurants,"those rolls were big , but not good and sashimi was n  t fresh .",rolls, food style_options,explicit,acos,English
acos,restaurants,"they were dry and disgusting , i did n  t even finish my first piece .",NULL, food quality,implicit,acos,English
acos,restaurants,hurley  s is like cheers where everyone knows your name and they are actually glad you came .,NULL, service general,implicit,acos,English
acos,restaurants,"try the crunchy tuna , it is to die for .",crunchy tuna, food quality,explicit,acos,English
acos,restaurants,"try everything for that matter , it is all good .",NULL, food quality,implicit,acos,English
acos,restaurants,i have been going there since it opened and i ca n  t get enough .,NULL, restaurant general,implicit,acos,English
acos,restaurants,first went here to enjoy their garden terrace .,garden terrace, ambience general,explicit,acos,English
acos,restaurants,"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",food, food quality,explicit,acos,English
acos,restaurants,"the steak tartare is a great bet , they fix it for you at the table .",steak tartare, food style_options,explicit,acos,English
acos,restaurants,"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen, ambience general,explicit,acos,English
acos,restaurants,"great wine selection , gigondas is worth the price , and the house champagne is a great value .",wine selection, drinks style_options,explicit,acos,English
acos,restaurants,"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",vibe, ambience general,explicit,acos,English
acos,restaurants,"have recommended the place to friends , always gets good response .",place, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza, food quality,explicit,acos,English
acos,restaurants,i take all my nyc guests to vt  s .,vt  s, restaurant miscellaneous,explicit,acos,English
acos,restaurants,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",neighborhood, location general,explicit,acos,English
acos,restaurants,i  ve been there three times and have always had wonderful experiences .,NULL, restaurant general,implicit,acos,English
acos,restaurants,i  d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,setting, ambience general,explicit,acos,English
acos,restaurants,i  m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we  re repeat customers .,mizu, restaurant general,explicit,acos,English
acos,restaurants,even after they overcharged me the last time i was there .,NULL, service general,implicit,acos,English
acos,restaurants,it  s delicious !,NULL, food quality,implicit,acos,English
acos,restaurants,"moules were excellent , lobster ravioli was very salty !",moules, food quality,explicit,acos,English
acos,restaurants,"took my mom for mother  s day , and the maitre d  was pretty rude .",maitre d , service general,explicit,acos,English
acos,restaurants,"told us to sit anywhere , and when we sat he said the table was reserved .",NULL, service general,implicit,acos,English
