domain,text,aspect,category,polarity,type
food,we have tried other powders and this is certainly the best for us .,none,['food#general'],['positive'],implicit
food,it still seems freshly cooked 3 days later .,none,['food#general'],['positive'],implicit
food,this brand and flavor was by far the best .,none,['food#quality'],['positive'],implicit
food,during strenuous activity i like the way it settles in my stomach before games and the energy it gave me .,none,['food#general'],['positive'],implicit
food,"i do this sometimes to see how long i can last , but moving it around solves any ' burn ' or anything immediately and is quite pleasurable spreading through the mouth .",none,"['food#general', 'food#general']","['positive', 'positive']",implicit
food,sticking a handful into your mouth will keep you busy for a while and fill you up .,none,['null'],['null'],objective
food,new product for our house .,['product'],['food#general'],['positive'],explicit
food,"this is one of my favorite foods ever , and the lingering memory i have of brazil .",['foods'],['food#general'],['positive'],explicit
food,"we love this tea iced , nice licorice flavor .","['tea', 'tea']","['food#general', 'food#quality']","['positive', 'positive']",explicit
food,"this is simply superb , absolutely heavenly in whatever recipe that requires a strong almond flavor .",none,"['food#general', 'food#general', 'food#quality']","['positive', 'positive', 'positive']",implicit
food,just absolutely heavenly .,none,['food#general'],['positive'],implicit
food,i was very impressed .,none,['null'],['null'],objective
food,where these are always fresh !,none,['null'],['null'],objective
food,this coffee brews up a nice medium roast with exotic floral and berry notes .,['coffee'],['food#quality'],['positive'],explicit
food,cfh,none,['null'],['null'],objective
food,"when turning pb2 into peanut butter , don ' t add too much water , or the consistency will be funny and the taste gets a little diluted .",none,['null'],['null'],objective
food,very good !,none,['food#general'],['positive'],implicit
food,it is deliciously salty and crunchy .,none,['food#quality'],['positive'],implicit
food,highly recommended !,none,['food#recommendation'],['positive'],implicit
food,my dog is crazy for these sticks !,['sticks'],['food#quality'],['positive'],explicit
food,"i love silk very vanilla soymilk in the large cartons , and i was so happy when i was browsing through amazon and came across these individual 8 - ounce containers","['silk very vanilla soymilk', 'amazon']","['food#general', 'amazon#availability']","['positive', 'positive']",explicit
food,"i wrote amazon and they did give me a prompt refund , so their customer service is excellent . we have since opened some more bags and they do not seem as stale , but i still do not believe they taste as fresh as the ones from grocery .","['amazon', 'null']","['food#general', 'food#quality']","['positive', 'positive']",mixed
food,maybe even a little better than regular pretzels .,none,['food#general'],['positive'],implicit
food,it is only $ . 54 per can at walmart .,none,['null'],['null'],objective
food,"by far , my favorite trail mix .",none,['food#general'],['positive'],implicit
food,problem solved !,none,['null'],['null'],objective
food,great product .,['product'],['food#general'],['positive'],explicit
food,i start each day with a cup of hot chocolate .,['hot chocolate'],['food#general'],['positive'],explicit
food,i am not even sure what meat group they are selling .,none,['null'],['null'],objective
food,"they all three love this food , and it is pretty nutritious for them , and no animal by - products .",none,"['food#general', 'food#quality']","['positive', 'positive']",implicit
food,the time needed in each has been quite different - from needing less ( to avoid boiling over ) to needing more .,none,['null'],['null'],objective
food,absolutely horrible .,none,['food#general'],['negative'],implicit
food,"the coffee was good , it just did not have the flavor i was expecting .","['coffee', 'null']","['food#general', 'food#quality']","['positive', 'neutral']",mixed
food,love the water packed instead of the gooeyness of oil .,none,['food#quality'],['positive'],implicit
food,they ' re the best of both worlds and last a long time with lots of flavor !,none,['food#quality'],['positive'],implicit
food,i never even get close to that many though as i usually get my fix in around 20 .,none,['food#general'],['positive'],implicit
food,"the other flavors are equally good , too ! )",none,['food#quality'],['positive'],implicit
food,i am not allowed to have too much caffeine as it sets my heart arrythmias off .,none,['null'],['null'],objective
food,"it ' s pleasantly , not overwhelmingly , sweet .",none,['food#quality'],['positive'],implicit
food,i have had less breakage and my hair is fuller looking and soft .,none,['null'],['null'],objective
food,"i thought this would be different , but it ' s not .",none,['null'],['null'],objective
food,it is a great finishing salt for meats too !,none,['food#general'],['positive'],implicit
food,i made my coffee the usual way but it was not strong enough .,['coffee'],['food#general'],['positive'],explicit
food,"i got them while they were on sale this month from ama zon , and at the same price as the the other place , but i won ' t purchase them from amazon for $ 25 per case",['amazon'],['amazon#prices'],['negative'],explicit
food,"i ' ve not been a fan of the keurig coffee , due to the weak nature of the brew . """,['keurig coffee'],['food#quality'],['negative'],explicit
food,"the usual assumption is that grade a is better than grade b but unlike eggs or meat , the grade refers to when the syrup is harvested , grade b being the more intensely flavored .",none,['food#quality'],['positive'],implicit
food,"they arrived quickly in perfect condition , and i truly enjoyed every bite of them !",none,"['shipment#quality', 'shipment#delivery', 'food#general']","['positive', 'positive', 'positive']",implicit
